Date,banking_crisis,bear_market,bull_market,business_confidence,consumer_confidence,debt_crisis,economic_growth,economic_recession,economic_recovery,financial_crisis,inflation,job_creation,job_losses,low_unemployment,recession,stock_market_crash,stock_market_optimism,stock_market_rally,strong_economy,unemployement
2020-06-07,19,6,20,49,22,21,35,41,59,29,64,30,48,52,22,9,0,68,39,27
2020-06-14,20,4,13,30,19,21,31,22,47,22,59,26,38,43,8,6,0,52,39,28
2020-06-21,18,4,13,46,20,15,37,21,63,23,64,36,46,39,8,5,0,53,37,27
2020-06-28,21,4,11,44,37,24,31,19,45,22,61,35,37,49,7,4,0,28,36,25
2020-07-05,19,4,13,52,21,18,31,17,49,22,64,29,28,45,7,5,0,27,41,26
2020-07-12,15,4,11,33,20,23,34,21,44,25,69,18,32,55,8,7,0,16,32,26
2020-07-19,17,4,11,44,18,23,29,18,45,26,66,34,21,50,8,6,0,17,38,29
2020-07-26,18,4,10,62,27,24,28,21,54,25,69,26,27,54,8,5,0,15,33,28
2020-08-02,27,4,11,35,16,16,25,14,45,24,64,23,27,51,7,5,0,17,29,24
2020-08-09,18,4,11,28,15,19,24,14,37,25,61,38,26,49,8,5,0,33,19,26
2020-08-16,15,4,13,39,13,15,33,16,40,21,59,47,30,51,7,5,0,22,39,21
2020-08-23,0,4,11,32,34,18,46,17,47,22,79,60,28,43,6,5,0,29,47,22
2020-08-30,12,4,15,46,20,23,62,25,44,23,72,39,36,50,8,9,0,26,60,18
2020-09-06,19,4,12,60,21,22,63,25,38,25,69,34,29,40,7,6,0,0,62,17
2020-09-13,18,4,11,65,18,21,77,32,44,25,80,41,24,43,7,6,0,17,84,16
2020-09-20,23,4,11,62,22,32,80,31,38,26,77,46,23,44,7,5,0,0,85,15
2020-09-27,28,3,10,57,36,27,79,33,92,26,74,60,46,48,9,4,0,17,84,14
2020-10-04,18,4,11,61,23,38,82,31,78,29,77,68,38,39,7,6,0,0,68,13
2020-10-11,40,4,11,51,25,24,70,30,51,28,73,55,22,36,7,7,0,27,68,12
2020-10-18,27,4,11,80,21,25,75,36,46,26,76,39,33,40,7,6,0,17,89,13
2020-10-25,31,3,10,86,29,27,75,35,49,27,72,68,36,32,8,7,0,37,77,10
2020-11-01,20,3,10,70,20,18,62,27,34,22,62,49,27,34,7,6,0,41,75,10
2020-11-08,44,3,15,86,28,32,66,34,35,26,72,45,24,34,8,6,0,29,87,11
2020-11-15,41,4,14,81,26,37,63,35,34,30,79,24,23,39,10,6,0,15,76,12
2020-11-22,24,4,12,52,20,26,34,19,25,21,61,25,22,26,7,6,0,27,41,9
2020-11-29,34,4,13,70,21,28,55,32,45,30,73,35,20,43,7,7,0,19,71,11
2020-12-06,41,4,15,72,24,30,60,36,37,31,88,29,21,37,7,8,0,0,74,12
2020-12-13,22,3,12,62,20,20,55,26,37,23,86,41,27,34,6,6,0,0,76,12
2020-12-20,13,3,10,20,12,18,15,6,23,14,61,18,0,28,4,5,0,25,22,13
2020-12-27,0,3,11,24,6,14,11,8,21,13,60,18,9,30,4,7,0,17,22,14
